-5.51,8.19,0.64,-0.01,0.01,-0.01
-5.51,8.19,0.64,-0.01,0.01,-0.01
-5.51,8.19,0.64,-0.01,0.01,-0.01
-5.49,8.19,0.65,-0.01,-0.00,-0.01
-5.49,8.19,0.65,-0.01,-0.00,-0.01
-5.49,8.19,0.65,-0.01,-0.00,-0.01
-5.49,8.19,0.65,-0.01,-0.00,-0.01
-5.49,8.19,0.65,-0.01,-0.00,-0.01
-5.49,8.19,0.65,-0.01,-0.00,-0.01
-5.39,8.24,0.63,0.00,-0.02,-0.01
-5.39,8.24,0.63,0.00,-0.02,-0.01
-5.39,8.24,0.63,0.00,-0.02,-0.01
-5.39,8.24,0.63,0.00,-0.02,-0.01
-5.39,8.24,0.63,0.00,-0.02,-0.01
-5.51,8.14,0.64,-0.00,0.01,-0.00
-5.51,8.14,0.64,-0.00,0.01,-0.00
-5.51,8.14,0.64,-0.00,0.01,-0.00
-5.51,8.14,0.64,-0.00,0.01,-0.00
-5.51,8.14,0.64,-0.00,0.01,-0.00
-5.51,8.14,0.64,-0.00,0.01,-0.00
-5.63,8.13,0.72,0.02,-0.01,0.01
-5.63,8.13,0.72,0.02,-0.01,0.01
-5.63,8.13,0.72,0.02,-0.01,0.01
-5.63,8.13,0.72,0.02,-0.01,0.01
-5.63,8.13,0.72,0.02,-0.01,0.01
-5.47,8.16,0.60,0.03,-0.04,-0.01
-5.47,8.16,0.60,0.03,-0.04,-0.01
-5.47,8.16,0.60,0.03,-0.04,-0.01
-5.47,8.16,0.60,0.03,-0.04,-0.01
-5.47,8.16,0.60,0.03,-0.04,-0.01
-5.47,8.16,0.60,0.03,-0.04,-0.01
-5.55,8.09,0.78,0.04,-0.04,-0.00
-5.55,8.09,0.78,0.04,-0.04,-0.00
-5.55,8.09,0.78,0.04,-0.04,-0.00
-5.55,8.09,0.78,0.04,-0.04,-0.00
-5.55,8.09,0.78,0.04,-0.04,-0.00
-5.46,8.16,0.60,0.05,-0.06,-0.03
-5.46,8.16,0.60,0.05,-0.06,-0.03
-5.46,8.16,0.60,0.05,-0.06,-0.03
-5.46,8.16,0.60,0.05,-0.06,-0.03
-5.46,8.16,0.60,0.05,-0.06,-0.03
-5.46,8.16,0.60,0.05,-0.06,-0.03
-5.33,8.15,0.60,0.08,-0.05,-0.04
-5.33,8.15,0.60,0.08,-0.05,-0.04
-5.33,8.15,0.60,0.08,-0.05,-0.04
-5.33,8.15,0.60,0.08,-0.05,-0.04
-5.33,8.15,0.60,0.08,-0.05,-0.04
-5.47,8.23,0.55,0.10,-0.01,-0.03
